gid,visteam,hometeam,date,attendance,gametype
NW2193905140,PH5,NW2,1939-05-14,10000,regular
SSA193905140,ATN,SSA,1939-05-14,0,regular
TLC193905141,NY5,TLC,1939-05-14,0,regular
TLC193905142,NY5,TLC,1939-05-14,0,regular
SSA193905150,ATN,SSA,1939-05-15,0,regular
TLC193905160,NY5,TLC,1939-05-16,0,exhibition
KCM193905170,MEM,KCM,1939-05-17,1100,regular
NW2193905171,PH5,NW2,1939-05-17,0,regular
NW2193905172,PH5,NW2,1939-05-17,0,regular
CAG193905200,KCM,CAG,1939-05-20,0,regular
CV9193905211,ATN,CV9,1939-05-21,4000,regular
CV9193905212,ATN,CV9,1939-05-21,4000,regular
MEM193905210,SSA,MEM,1939-05-21,0,regular
NW2193905211,BLG,NW2,1939-05-21,0,regular
NW2193905212,BLG,NW2,1939-05-21,4000,regular
PH5193905211,NY5,PH5,1939-05-21,0,regular
KCM193905260,ATN,KCM,1939-05-26,600,regular
NW2193905270,TLC,NW2,1939-05-27,0,regular
BLG193905281,NY5,BLG,1939-05-28,0,regular
BLG193905282,NY5,BLG,1939-05-28,0,regular
CAG193905281,MEM,CAG,1939-05-28,0,regular
KCM193905281,ATN,KCM,1939-05-28,3500,regular
KCM193905282,ATN,KCM,1939-05-28,3500,regular
NW2193905281,NY6,NW2,1939-05-28,0,regular
NW2193905282,NY6,NW2,1939-05-28,0,regular
SSA193905280,CV9,SSA,1939-05-28,0,regular
CAG193905290,MEM,CAG,1939-05-29,0,regular
CAG193905301,MEM,CAG,1939-05-30,6000,regular
CAG193905302,MEM,CAG,1939-05-30,6000,exhibition
KCM193905301,CV9,KCM,1939-05-30,4300,regular
KCM193905302,CV9,KCM,1939-05-30,4300,regular
NY5193905301,BLG,NY5,1939-05-30,7000,regular
NY5193905302,BLG,NY5,1939-05-30,7000,regular
HOM193906010,NY6,HOM,1939-06-01,1000,regular
PH5193906010,NY5,PH5,1939-06-01,0,regular
CAG193906041,CV9,CAG,1939-06-04,8000,regular
CAG193906042,CV9,CAG,1939-06-04,8000,regular
KCM193906041,SSA,KCM,1939-06-04,3000,regular
KCM193906042,SSA,KCM,1939-06-04,3000,regular
MEM193906040,ATN,MEM,1939-06-04,0,regular
NY5193906042,PH5,NY5,1939-06-04,12000,regular
NY6193906041,BLG,NY6,1939-06-04,12000,regular
MEM193906111,KCM,MEM,1939-06-11,5000,regular
MEM193906112,KCM,MEM,1939-06-11,5000,regular
ATN193906140,CV9,ATN,1939-06-14,1000,regular
MEM193906140,KCM,MEM,1939-06-14,2000,regular
ATN193906150,CV9,ATN,1939-06-15,0,regular
PH5193906150,NW2,PH5,1939-06-15,0,regular
ATN193906180,MEM,ATN,1939-06-18,2000,regular
CAG193906181,SSA,CAG,1939-06-18,0,regular
CAG193906182,SSA,CAG,1939-06-18,0,regular
CV9193906181,KCM,CV9,1939-06-18,4000,regular
CV9193906182,KCM,CV9,1939-06-18,4000,regular
TLC193906181,NY6,TLC,1939-06-18,0,regular
CAG193906190,SSA,CAG,1939-06-19,0,regular
ATN193906200,MEM,ATN,1939-06-20,1000,regular
TLC193906200,KCM,TLC,1939-06-20,500,exhibition
CAG193906210,NY6,CAG,1939-06-21,440,exhibition
CV9193906252,SSA,CV9,1939-06-25,2500,regular
NW2193906251,NY5,NW2,1939-06-25,2400,regular
NY5193906252,NW2,NY5,1939-06-25,2400,regular
SSA193906251,KCM,SSA,1939-06-25,2500,regular
MEM193906260,CAG,MEM,1939-06-26,1000,regular
TLC193906260,KCM,TLC,1939-06-26,1000,exhibition
SSA193906270,NY6,SSA,1939-06-27,2000,exhibition
PH5193907011,NY5,PH5,1939-07-01,0,regular
PH5193907012,NY5,PH5,1939-07-01,0,regular
KCM193907021,CAG,KCM,1939-07-02,15000,regular
KCM193907022,CAG,KCM,1939-07-02,15000,regular
NW2193907021,PH5,NW2,1939-07-02,15000,regular
NY5193907022,BLG,NY5,1939-07-02,15000,regular
CAG193907041,KCM,CAG,1939-07-04,0,regular
KCM193907070,SSA,KCM,1939-07-07,1000,regular
KCM193907080,SSA,KCM,1939-07-08,0,regular
PH5193907081,BLG,PH5,1939-07-08,0,regular
PH5193907082,BLG,PH5,1939-07-08,0,regular
CAG193907091,TLC,CAG,1939-07-09,6500,exhibition
CAG193907092,TLC,CAG,1939-07-09,6500,exhibition
CV9193907091,MEM,CV9,1939-07-09,0,regular
CV9193907092,MEM,CV9,1939-07-09,0,regular
KCM193907091,SSA,KCM,1939-07-09,0,regular
KCM193907092,SSA,KCM,1939-07-09,0,regular
NW2193907091,HOM,NW2,1939-07-09,6000,regular
NW2193907092,HOM,NW2,1939-07-09,6000,regular
CAG193907110,KCM,CAG,1939-07-11,2500,exhibition
NW2193907130,NY5,NW2,1939-07-13,0,regular
SSA193907140,CV9,SSA,1939-07-14,0,exhibition
BLG193907161,NY6,BLG,1939-07-16,0,regular
BLG193907162,NY6,BLG,1939-07-16,0,regular
HOM193907161,PH5,HOM,1939-07-16,3500,regular
HOM193907162,PH5,HOM,1939-07-16,3500,regular
NW2193907161,NY5,NW2,1939-07-16,0,regular
NW2193907162,NY5,NW2,1939-07-16,0,regular
CAG193907190,KCM,CAG,1939-07-19,1100,regular
KCM193907200,CAG,KCM,1939-07-20,1000,exhibition
CAG193907210,KCM,CAG,1939-07-21,1000,regular
PH5193907221,NY5,PH5,1939-07-22,15000,regular
PH5193907222,NY5,PH5,1939-07-22,15000,regular
BLG193907231,NW2,BLG,1939-07-23,3700,regular
BLG193907232,NW2,BLG,1939-07-23,3700,regular
HOM193907231,PH5,HOM,1939-07-23,15000,regular
KCM193907230,CAG,KCM,1939-07-23,0,exhibition
MEM193907231,CV9,MEM,1939-07-23,0,regular
NY5193907232,NY6,NY5,1939-07-23,15000,regular
TLC193907231,SSA,TLC,1939-07-23,3000,regular
TLC193907232,SSA,TLC,1939-07-23,3000,regular
HOM193907240,PH5,HOM,1939-07-24,1166,regular
SSA193907260,MEM,SSA,1939-07-26,0,regular
HOM193907270,PH5,HOM,1939-07-27,1300,exhibition
KCM193907270,CAG,KCM,1939-07-27,1000,exhibition
CAG193907280,KCM,CAG,1939-07-28,1000,exhibition
CAG193907290,KCM,CAG,1939-07-29,0,regular
BLG193907301,NY5,BLG,1939-07-30,1700,regular
BLG193907302,NY5,BLG,1939-07-30,1700,regular
CAG193907301,KCM,CAG,1939-07-30,0,regular
CAG193907302,KCM,CAG,1939-07-30,0,regular
BLG193908010,NY5,BLG,1939-08-01,2000,regular
MEM193908010,SSA,MEM,1939-08-01,3000,regular
TLC193908010,KCM,TLC,1939-08-01,1400,regular
TLC193908020,KCM,TLC,1939-08-02,935,regular
HOM193908030,NW2,HOM,1939-08-03,4000,regular
MEM193908030,SSA,MEM,1939-08-03,5000,regular
NY5193908030,BLG,NY5,1939-08-03,2000,exhibition
HOM193908040,NW2,HOM,1939-08-04,1200,regular
PH5193908051,NY6,PH5,1939-08-05,0,regular
PH5193908052,NY6,PH5,1939-08-05,0,regular
ASW193908060,ASE,ASW,1939-08-06,40000,allstar
BLG193908061,MEM,BLG,1939-08-06,3000,exhibition
BLG193908062,MEM,BLG,1939-08-06,3000,exhibition
KCM193908061,TLC,KCM,1939-08-06,4212,exhibition
KCM193908062,TLC,KCM,1939-08-06,4212,exhibition
NY5193908062,SSA,NY5,1939-08-06,3500,exhibition
SSA193908061,NY5,SSA,1939-08-06,3500,exhibition
KCM193908070,TLC,KCM,1939-08-07,2319,regular
KCM193908080,TLC,KCM,1939-08-08,4000,regular
KCM193908110,TLC,KCM,1939-08-11,1500,regular
CAG193908131,CV9,CAG,1939-08-13,0,regular
CAG193908132,CV9,CAG,1939-08-13,0,regular
MEM193908130,KCM,MEM,1939-08-13,10000,regular
NY5193908132,HOM,NY5,1939-08-13,15000,regular
NY6193908131,BLG,NY6,1939-08-13,15000,regular
MEM193908180,KCM,MEM,1939-08-18,6000,regular
CAG193908201,SSA,CAG,1939-08-20,0,regular
CAG193908202,SSA,CAG,1939-08-20,0,regular
KCM193908201,MEM,KCM,1939-08-20,0,regular
KCM193908202,MEM,KCM,1939-08-20,0,regular
NW2193908201,NY6,NW2,1939-08-20,0,regular
NW2193908202,NY6,NW2,1939-08-20,0,regular
HOM193908240,BLG,HOM,1939-08-24,1000,regular
ASE193908270,ASW,ASE,1939-08-27,17000,allstar
BLG193908271,NY6,BLG,1939-08-27,1500,exhibition
BLG193908272,NY6,BLG,1939-08-27,1500,exhibition
HOM193908272,NY5,HOM,1939-08-27,4500,exhibition
MEM193908271,CAG,MEM,1939-08-27,0,exhibition
NY5193908271,NW2,NY5,1939-08-27,4500,exhibition
NY5193908280,NY6,NY5,1939-08-28,0,regular
KCM193908310,SSA,KCM,1939-08-31,3000,lcs
KCM193909010,SSA,KCM,1939-09-01,3000,lcs
NW2193909010,HOM,NW2,1939-09-01,2000,exhibition
PH5193909020,HOM,PH5,1939-09-02,0,regular
BLG193909031,PH5,BLG,1939-09-03,0,regular
CAG193909031,MEM,CAG,1939-09-03,0,regular
KCM193909031,SSA,KCM,1939-09-03,0,lcs
KCM193909032,SSA,KCM,1939-09-03,0,lcs
NW2193909032,HOM,NW2,1939-09-03,0,regular
BLG193909042,HOM,BLG,1939-09-04,10000,regular
KCM193909040,SSA,KCM,1939-09-04,0,lcs
NY5193909041,NY6,NY5,1939-09-04,10000,regular
NW2193909060,BLG,NW2,1939-09-06,0,divisionseries
MEM193909070,KCM,MEM,1939-09-07,3000,exhibition
NW2193909090,BLG,NW2,1939-09-09,0,divisionseries
BLG193909101,NW2,BLG,1939-09-10,0,divisionseries
BLG193909102,NW2,BLG,1939-09-10,0,divisionseries
HOM193909101,PH5,HOM,1939-09-10,5000,divisionseries
HOM193909102,PH5,HOM,1939-09-10,5000,divisionseries
MEM193909100,KCM,MEM,1939-09-10,8000,exhibition
MEM193909120,KCM,MEM,1939-09-12,1500,exhibition
PH5193909130,HOM,PH5,1939-09-13,0,divisionseries
PH5193909140,HOM,PH5,1939-09-14,0,divisionseries
HOM193909160,BLG,HOM,1939-09-16,3000,lcs
BLG193909171,HOM,BLG,1939-09-17,3000,lcs
BLG193909172,HOM,BLG,1939-09-17,3000,lcs
MEM193909171,KCM,MEM,1939-09-17,2500,exhibition
MEM193909172,KCM,MEM,1939-09-17,2500,exhibition
MEM193909190,KCM,MEM,1939-09-19,1000,exhibition
HOM193909230,BLG,HOM,1939-09-23,0,lcs
BLG193909240,HOM,BLG,1939-09-24,10000,lcs
KCM193909241,MEM,KCM,1939-09-24,2000,exhibition
KCM193909242,MEM,KCM,1939-09-24,2000,exhibition
KCM193909250,MEM,KCM,1939-09-25,1500,exhibition
SAS193910010,NAS,SAS,1939-10-01,2000,allstar
MLS193910080,NNS,MLS,1939-10-08,2000,exhibition
PRG193910081,PIR,PRG,1939-10-08,3800,exhibition
PRG193910082,PIR,PRG,1939-10-08,3800,exhibition
PRG193910110,PIR,PRG,1939-10-11,7000,exhibition
CV9194003240,SNO,CV9,1940-03-24,2837,exhibition
BLG194003310,NY5,BLG,1940-03-31,1000,exhibition
HOM194004050,CV9,HOM,1940-04-05,904,exhibition
BLG194004071,MEM,BLG,1940-04-07,5000,exhibition
BLG194004072,MEM,BLG,1940-04-07,5000,exhibition
CAG194004142,BIR,CAG,1940-04-14,3500,exhibition
SNO194004141,NY5,SNO,1940-04-14,3500,exhibition
KCM194004160,IN8,KCM,1940-04-16,1600,exhibition
BIR194004211,BLG,BIR,1940-04-21,4500,exhibition
BIR194004212,BLG,BIR,1940-04-21,4500,exhibition
KCM194004210,IN8,KCM,1940-04-21,1500,exhibition
MEM194004210,SNO,MEM,1940-04-21,2000,exhibition
NY5194004211,CAG,NY5,1940-04-21,2500,exhibition
NY5194004212,CAG,NY5,1940-04-21,2500,exhibition
HOM194004281,KCM,HOM,1940-04-28,5000,exhibition
HOM194004282,KCM,HOM,1940-04-28,5000,exhibition
NW2194004281,NY6,NW2,1940-04-28,2500,exhibition
NW2194004282,NY6,NW2,1940-04-28,2500,exhibition
KCM194004300,IN8,KCM,1940-04-30,4250,exhibition
BLG194005051,IN8,BLG,1940-05-05,4000,exhibition
BLG194005052,IN8,BLG,1940-05-05,4000,exhibition
KCM194005051,SNO,KCM,1940-05-05,3200,exhibition
KCM194005052,SNO,KCM,1940-05-05,3200,exhibition
NW2194005050,NY5,NW2,1940-05-05,11000,regular
PH5194005110,BLG,PH5,1940-05-11,5000,regular
BIR194005121,KCM,BIR,1940-05-12,8500,regular
BIR194005122,KCM,BIR,1940-05-12,8500,regular
BLG194005121,PH5,BLG,1940-05-12,3000,regular
BLG194005122,PH5,BLG,1940-05-12,3000,regular
CV9194005121,CAG,CV9,1940-05-12,1500,regular
CV9194005122,CAG,CV9,1940-05-12,1500,regular
HOM194005121,NY6,HOM,1940-05-12,4000,regular
HOM194005122,NY6,HOM,1940-05-12,4000,regular
MEM194005121,SNO,MEM,1940-05-12,4000,regular
NW2194005121,NY5,NW2,1940-05-12,1100,regular
NY5194005122,NW2,NY5,1940-05-12,1100,regular
BIR194005170,SNO,BIR,1940-05-17,1000,regular
HOM194005180,BLG,HOM,1940-05-18,2500,regular
PH5194005181,NW2,PH5,1940-05-18,0,regular
PH5194005182,NW2,PH5,1940-05-18,0,regular
HOM194005191,BLG,HOM,1940-05-19,4800,regular
HOM194005192,BLG,HOM,1940-05-19,4800,regular
NW2194005191,PH5,NW2,1940-05-19,6500,regular
NW2194005192,PH5,NW2,1940-05-19,6500,regular
NY5194005191,NY6,NY5,1940-05-19,10000,regular
NY5194005192,NY6,NY5,1940-05-19,10000,regular
KCM194005230,MEM,KCM,1940-05-23,1200,regular
KCM194005240,MEM,KCM,1940-05-24,800,regular
CV9194005261,SNO,CV9,1940-05-26,5100,regular
CV9194005262,SNO,CV9,1940-05-26,5100,regular
HOM194005261,PH5,HOM,1940-05-26,6000,regular
KCM194005261,MEM,KCM,1940-05-26,7074,regular
KCM194005262,MEM,KCM,1940-05-26,7074,regular
NY5194005262,BLG,NY5,1940-05-26,6000,regular
NY6194005260,NW2,NY6,1940-05-26,800,regular
PH5194006011,HOM,PH5,1940-06-01,0,regular
PH5194006012,HOM,PH5,1940-06-01,0,regular
BLG194006021,NY5,BLG,1940-06-02,1600,regular
BLG194006022,NY5,BLG,1940-06-02,1600,regular
NW2194006021,PH5,NW2,1940-06-02,1500,regular
NW2194006022,PH5,NW2,1940-06-02,1500,regular
CV9194006030,KCM,CV9,1940-06-03,569,regular
PH5194006060,HOM,PH5,1940-06-06,3000,regular
PH5194006081,BLG,PH5,1940-06-08,0,regular
PH5194006082,BLG,PH5,1940-06-08,0,regular
KCM194006091,CAG,KCM,1940-06-09,6000,regular
KCM194006092,CAG,KCM,1940-06-09,6000,regular
PH5194006091,NY6,PH5,1940-06-09,3000,regular
PH5194006092,NY6,PH5,1940-06-09,3000,regular
KCM194006100,CAG,KCM,1940-06-10,700,regular
NY5194006162,PH5,NY5,1940-06-16,10000,regular
NY6194006161,BLG,NY6,1940-06-16,10000,regular
IN8194006180,KCM,IN8,1940-06-18,700,regular
BLG194006220,NY5,BLG,1940-06-22,1500,regular
BLG194006231,NY5,BLG,1940-06-23,5000,regular
BLG194006232,NY5,BLG,1940-06-23,5000,regular
HOM194006270,PH5,HOM,1940-06-27,1000,regular
IN8194006270,KCM,IN8,1940-06-27,2000,regular
CV9194006280,BIR,CV9,1940-06-28,1000,regular
CV9194006301,BIR,CV9,1940-06-30,1000,regular
CV9194006302,BIR,CV9,1940-06-30,1000,regular
KCM194006301,SNO,KCM,1940-06-30,5000,regular
KCM194006302,SNO,KCM,1940-06-30,5000,regular
KCM194007010,SNO,KCM,1940-07-01,1500,regular
HOM194007041,BLG,HOM,1940-07-04,7000,regular
HOM194007042,BLG,HOM,1940-07-04,7000,regular
MEM194007041,CV9,MEM,1940-07-04,1500,regular
MEM194007042,CV9,MEM,1940-07-04,1500,regular
KCM194007071,MEM,KCM,1940-07-07,4000,regular
KCM194007072,MEM,KCM,1940-07-07,4000,regular
NY5194007072,HOM,NY5,1940-07-07,12000,regular
NY6194007071,PH5,NY6,1940-07-07,12000,regular
SNO194007071,CV9,SNO,1940-07-07,2000,regular
SNO194007072,CV9,SNO,1940-07-07,2000,regular
HOM194007120,BLG,HOM,1940-07-12,1000,regular
BLG194007141,HOM,BLG,1940-07-14,4000,regular
BLG194007142,HOM,BLG,1940-07-14,4000,regular
KCM194007141,CV9,KCM,1940-07-14,5000,regular
KCM194007142,CV9,KCM,1940-07-14,5000,regular
BIR194007170,MEM,BIR,1940-07-17,1600,regular
BLG194007210,PH5,BLG,1940-07-21,2000,regular
MEM194007230,IN8,MEM,1940-07-23,2000,regular
HOM194007281,BLG,HOM,1940-07-28,8000,regular
HOM194007282,BLG,HOM,1940-07-28,8000,regular
NY5194007282,NW2,NY5,1940-07-28,2000,regular
PH5194007281,NY6,PH5,1940-07-28,2000,regular
SNO194007281,IN8,SNO,1940-07-28,2000,regular
SNO194007282,IN8,SNO,1940-07-28,2000,regular
KCM194008020,IN8,KCM,1940-08-02,2500,regular
BLG194008041,SNO,BLG,1940-08-04,18000,exhibition
NY5194008042,MEM,NY5,1940-08-04,18000,exhibition
HOM194008050,NY6,HOM,1940-08-05,1081,exhibition
HOM194008070,NY6,HOM,1940-08-07,1356,regular
BLG194008080,MEM,BLG,1940-08-08,1800,exhibition
HOM194008090,NY6,HOM,1940-08-09,2700,regular
BLG194008111,NW2,BLG,1940-08-11,5000,regular
HOM194008110,NY6,HOM,1940-08-11,4500,regular
PH5194008112,NY5,PH5,1940-08-11,5000,regular
HOM194008120,NY6,HOM,1940-08-12,1500,regular
KCM194008130,IN8,KCM,1940-08-13,2500,regular
HOM194008150,NY6,HOM,1940-08-15,500,exhibition
ASW194008180,ASE,ASW,1940-08-18,23896,allstar
SNO194008180,MEM,SNO,1940-08-18,1200,exhibition
BLG194008220,NY5,BLG,1940-08-22,5000,exhibition
CV9194009011,SNO,CV9,1940-09-01,500,regular
CV9194009012,SNO,CV9,1940-09-01,500,regular
KCM194009010,BIR,KCM,1940-09-01,4782,regular
HOM194009030,NY6,HOM,1940-09-03,2000,exhibition
HOM194009050,NY6,HOM,1940-09-05,1800,exhibition
CAG194009081,KCM,CAG,1940-09-08,7500,regular
HOM194009081,MEM,HOM,1940-09-08,15000,exhibition
HOM194009130,MEM,HOM,1940-09-13,500,exhibition
PH5194009151,NY5,PH5,1940-09-15,1000,exhibition
PH5194009152,NY5,PH5,1940-09-15,1000,exhibition
SAS194010010,NAS,SAS,1940-10-01,3000,allstar
AST194010041,NAS,AST,1940-10-04,0,allstar
BIR194104131,NY5,BIR,1941-04-13,3000,exhibition
BIR194104132,NY5,BIR,1941-04-13,3000,exhibition
SNO194104130,CAG,SNO,1941-04-13,3200,exhibition
MEM194104142,BLG,MEM,1941-04-14,1100,exhibition
NY5194104141,BLG,NY5,1941-04-14,1100,exhibition
BIR194104201,NY5,BIR,1941-04-20,2000,exhibition
BIR194104202,NY5,BIR,1941-04-20,2000,exhibition
KCM194104200,CAG,KCM,1941-04-20,1200,exhibition
KCM194104270,CAG,KCM,1941-04-27,1900,exhibition
MEM194104272,NY6,MEM,1941-04-27,2000,exhibition
NY5194104270,NY6,NY5,1941-04-27,500,exhibition
NY6194104271,MEM,NY6,1941-04-27,2000,exhibition
BIR194105041,NW2,BIR,1941-05-04,2000,exhibition
BIR194105042,NW2,BIR,1941-05-04,2000,exhibition
HOM194105041,BLG,HOM,1941-05-04,4756,exhibition
HOM194105042,BLG,HOM,1941-05-04,3745,exhibition
SNO194105041,CAG,SNO,1941-05-04,2000,exhibition
SNO194105042,CAG,SNO,1941-05-04,2000,exhibition
CAG194105080,SNO,CAG,1941-05-08,1500,exhibition
MEM194105080,KCM,MEM,1941-05-08,1000,exhibition
HOM194105100,BLG,HOM,1941-05-10,600,regular
PH5194105100,NY6,PH5,1941-05-10,3000,regular
BLG194105111,HOM,BLG,1941-05-11,6000,regular
BLG194105112,HOM,BLG,1941-05-11,6000,regular
NW2194105110,NY6,NW2,1941-05-11,12500,regular
NY5194105111,PH5,NY5,1941-05-11,20000,regular
HOM194105120,BLG,HOM,1941-05-12,500,regular
SNO194105130,JAX,SNO,1941-05-13,3000,regular
CAG194105181,KCM,CAG,1941-05-18,10000,regular
CAG194105182,KCM,CAG,1941-05-18,10000,regular
HOM194105181,NY5,HOM,1941-05-18,6547,regular
HOM194105182,NY5,HOM,1941-05-18,6547,regular
NW2194105181,PH5,NW2,1941-05-18,4000,regular
NW2194105182,PH5,NW2,1941-05-18,4000,regular
HOM194105200,NY5,HOM,1941-05-20,1560,regular
KCM194105200,MEM,KCM,1941-05-20,900,regular
KCM194105220,MEM,KCM,1941-05-22,1600,regular
PH5194105241,NY5,PH5,1941-05-24,1800,regular
PH5194105242,NY5,PH5,1941-05-24,1800,regular
BIR194105251,JAX,BIR,1941-05-25,4200,regular
CAG194105251,SNO,CAG,1941-05-25,6500,regular
CAG194105252,SNO,CAG,1941-05-25,6500,regular
HOM194105251,NY6,HOM,1941-05-25,2200,regular
HOM194105252,NY6,HOM,1941-05-25,2200,regular
KCM194105250,MEM,KCM,1941-05-25,14000,regular
NW2194105251,BLG,NW2,1941-05-25,3500,regular
NW2194105252,BLG,NW2,1941-05-25,3500,regular
NY5194105302,NW2,NY5,1941-05-30,22000,regular
NY6194105301,BLG,NY6,1941-05-30,23000,regular
BLG194106011,NY6,BLG,1941-06-01,2500,regular
BLG194106012,NY6,BLG,1941-06-01,2500,regular
KCM194106011,JAX,KCM,1941-06-01,7500,regular
KCM194106012,JAX,KCM,1941-06-01,7500,regular
MEM194106011,BIR,MEM,1941-06-01,3400,regular
MEM194106012,BIR,MEM,1941-06-01,3400,regular
KCM194106050,JAX,KCM,1941-06-05,1250,regular
BIR194106081,MEM,BIR,1941-06-08,3700,regular
BIR194106082,MEM,BIR,1941-06-08,3700,regular
HOM194106081,BLG,HOM,1941-06-08,3118,regular
HOM194106082,BLG,HOM,1941-06-08,3118,regular
NW2194106081,PH5,NW2,1941-06-08,12000,regular
NY5194106082,NY6,NY5,1941-06-08,12000,regular
HOM194106090,NY6,HOM,1941-06-09,3000,regular
BIR194106100,MEM,BIR,1941-06-10,954,regular
KCM194106110,CAG,KCM,1941-06-11,3420,regular
HOM194106120,NY6,HOM,1941-06-12,2000,regular
BLG194106151,NY5,BLG,1941-06-15,4500,regular
BLG194106152,NY5,BLG,1941-06-15,4500,regular
PH5194106151,NW2,PH5,1941-06-15,1100,regular
PH5194106152,NW2,PH5,1941-06-15,1100,regular
SNO194106150,BIR,SNO,1941-06-15,1500,regular
PH5194106190,HOM,PH5,1941-06-19,2000,regular
BLG194106221,NY5,BLG,1941-06-22,2900,regular
BLG194106222,NY5,BLG,1941-06-22,2900,regular
CAG194106221,MEM,CAG,1941-06-22,6500,regular
NW2194106221,HOM,NW2,1941-06-22,4000,regular
NW2194106222,HOM,NW2,1941-06-22,4000,regular
HOM194106230,PH5,HOM,1941-06-23,800,regular
NY6194106250,NW2,NY6,1941-06-25,1200,regular
CAG194106260,NY5,CAG,1941-06-26,1600,exhibition
BLG194106291,PH5,BLG,1941-06-29,12000,regular
KCM194106291,NY5,KCM,1941-06-29,7068,exhibition
KCM194106292,NY5,KCM,1941-06-29,7068,exhibition
NY6194106292,HOM,NY6,1941-06-29,12000,regular
BIR194107041,JAX,BIR,1941-07-04,5000,regular
BIR194107042,JAX,BIR,1941-07-04,5000,regular
CAG194107040,KCM,CAG,1941-07-04,19178,regular
KCM194107061,CAG,KCM,1941-07-06,3540,regular
KCM194107062,CAG,KCM,1941-07-06,3540,regular
NW2194107061,NY6,NW2,1941-07-06,2500,regular
NW2194107062,NY6,NW2,1941-07-06,2500,regular
KCM194107080,BIR,KCM,1941-07-08,1600,regular
KCM194107100,BIR,KCM,1941-07-10,2360,regular
NW2194107100,BLG,NW2,1941-07-10,2000,regular
PH5194107100,NY5,PH5,1941-07-10,1100,regular
KCM194107110,BIR,KCM,1941-07-11,2500,regular
NY6194107110,HOM,NY6,1941-07-11,1000,regular
HOM194107131,NY6,HOM,1941-07-13,5000,regular
HOM194107132,NY6,HOM,1941-07-13,5000,regular
KCM194107131,BIR,KCM,1941-07-13,4206,regular
HOM194107170,NY6,HOM,1941-07-17,2700,regular
HOM194107180,NY6,HOM,1941-07-18,570,exhibition
BLG194107190,NW2,BLG,1941-07-19,800,exhibition
CAG194107203,MEM,CAG,1941-07-20,2200,exhibition
HOM194107200,NW2,HOM,1941-07-20,1600,regular
NY5194107202,PH5,NY5,1941-07-20,27000,regular
NY6194107201,KCM,NY6,1941-07-20,27000,exhibition
SNO194107201,CAG,SNO,1941-07-20,8000,regular
SNO194107202,MEM,SNO,1941-07-20,8000,regular
HOM194107230,PH5,HOM,1941-07-23,1500,regular
BLG194107240,NY6,BLG,1941-07-24,2000,regular
NY5194107240,KCM,NY5,1941-07-24,2362,exhibition
HOM194107250,PH5,HOM,1941-07-25,3000,regular
KCM194107250,MEM,KCM,1941-07-25,1100,regular
ASW194107270,ASE,ASW,1941-07-27,47865,allstar
JAX194107271,KCM,JAX,1941-07-27,5000,exhibition
KCM194107272,JAX,KCM,1941-07-27,5000,exhibition
NW2194107271,SNO,NW2,1941-07-27,6000,exhibition
NW2194107272,SNO,NW2,1941-07-27,6000,exhibition
JAX194107280,KCM,JAX,1941-07-28,3000,exhibition
HOM194107290,PH5,HOM,1941-07-29,1200,regular
KCM194107300,JAX,KCM,1941-07-30,1934,regular
HOM194108031,BLG,HOM,1941-08-03,28312,regular
HOM194108032,BLG,HOM,1941-08-03,28321,regular
NW2194108031,NY5,NW2,1941-08-03,4000,regular
NW2194108032,NY5,NW2,1941-08-03,4000,regular
SNO194108031,KCM,SNO,1941-08-03,10000,regular
SNO194108032,KCM,SNO,1941-08-03,10000,regular
NW2194108050,PH5,NW2,1941-08-05,1100,exhibition
NY6194108060,HOM,NY6,1941-08-06,1300,regular
KCM194108070,SNO,KCM,1941-08-07,1300,regular
SNO194108080,KCM,SNO,1941-08-08,2500,regular
HOM194108101,PH5,HOM,1941-08-10,2500,regular
HOM194108102,PH5,HOM,1941-08-10,2500,regular
KCM194108101,SNO,KCM,1941-08-10,4568,regular
KCM194108102,SNO,KCM,1941-08-10,4568,regular
NY5194108102,BIR,NY5,1941-08-10,20000,exhibition
NY6194108101,MEM,NY6,1941-08-10,20000,exhibition
SNO194108110,KCM,SNO,1941-08-11,3000,regular
KCM194108120,SNO,KCM,1941-08-12,1000,regular
PH5194108120,MEM,PH5,1941-08-12,1000,exhibition
KCM194108130,BIR,KCM,1941-08-13,5000,regular
HOM194108173,NW2,HOM,1941-08-17,3000,regular
KCM194108171,BLG,KCM,1941-08-17,4182,exhibition
KCM194108172,BLG,KCM,1941-08-17,4182,exhibition
SNO194108171,MEM,SNO,1941-08-17,5700,regular
SNO194108172,MEM,SNO,1941-08-17,5700,regular
BIR194108241,SNO,BIR,1941-08-24,6000,regular
BIR194108242,SNO,BIR,1941-08-24,6000,regular
HOM194108241,BLG,HOM,1941-08-24,5377,regular
HOM194108242,BLG,HOM,1941-08-24,5377,regular
NW2194108241,KCM,NW2,1941-08-24,25000,exhibition
NY6194108242,PH5,NY6,1941-08-24,25000,regular
MEM194108260,NY6,MEM,1941-08-26,1500,exhibition
HOM194108280,NY6,HOM,1941-08-28,1400,regular
HOM194108300,NY6,HOM,1941-08-30,1300,exhibition
CAG194108310,KCM,CAG,1941-08-31,15000,regular
BLG194109011,NY5,BLG,1941-09-01,1600,regular
BLG194109012,NY5,BLG,1941-09-01,1600,regular
HOM194109020,NY6,HOM,1941-09-02,1706,exhibition
CAG194109030,KCM,CAG,1941-09-03,1500,regular
